ppt_id,start_date,tv_count,Day-01,Day-02,Day-03,Day-04,Day-05,Day-06,Day-07,Day-08,Day-09,Day-10
1024,2023-07-04,1,192.58,147.58,128.17,19.08,1.42,6.33,0.0,0.17,34.17,46.67
1036,2023-07-18,1,0.0,0.0,0.0,0.0,0.0,0.0,123.75,162.17,72.5,21.83
1078,2023-10-26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,2024-02-22,1,39.25,2.58,34.0,13.17,19.58,29.0,47.25,20.25,33.83,44.0
1098,2024-01-12,3,245.67,49.92,29.33,9.33,38.67,56.34,82.08,99.58,62.92,48.58
1099,2023-11-29,1,11.92,8.17,19.92,35.67,9.08,18.83,7.25,7.42,1.0,14.5
1100,2023-11-15,2,7.67,21.92,47.25,87.67,101.25,64.92,140.83,48.42,65.5,7.17
1138,2023-12-01,1,10.33,10.83,52.33,2.83,45.42,3.92,10.17,10.08,2.25,45.0
1141,2023-11-30,1,0.0,0.0,5.08,0.0,0.0,0.0,0.0,5.67,16.92,19.75
1147,2023-11-10,2,47.25,7.92,7.42,4.67,22.25,3.75,5.83,12.5,7.08,24.58
1149,2023-11-04,1,38.33,25.25,7.58,18.25,47.17,102.25,109.33,34.67,61.25,31.42
1165,2024-01-06,1,249.67,341.17,178.25,196.83,175.92,171.92,0.0,0.0,0.0,0.0
1185,2024-02-01,2,34.5,8.17,48.0,101.09,30.5,3.33,12.34,14.5,7.75,74.33
1206,2024-04-06,1,0.5,0.0,1.08,0.0,0.08,0.0,6.17,8.42,0.17,1.67
1211,2024-01-19,1,7.25,11.5,0.0,0.0,0.0,0.0,0.0,2.42,13.0,6.92
1217,2024-01-09,2,28.090000000000003,19.58,12.09,13.17,95.83,81.84,92.75,93.17,9.42,8.92
1311,2024-01-31,2,55.17,101.75,130.16,24.25,0.0,2.42,0.08,0.0,0.0,17.83
1322,2024-02-28,1,0.0,57.42,0.0,4.67,0.0,1.17,16.08,0.0,13.08,11.67
1325,2024-02-27,1,19.42,24.75,21.92,0.0,88.08,102.92,24.08,10.75,0.0,29.58
1330,2024-03-19,2,1.17,8.08,45.58,19.16,137.75,3.42,21.25,11.75,20.42,2.58
1331,2024-02-24,2,63.58,55.67,78.67,57.17,53.83,55.83,9.0,0.0,0.08,79.08
1335,2024-04-03,1,11.0,14.33,26.83,25.92,132.58,47.08,13.08,28.92,27.92,12.67
1347,2024-03-20,2,31.58,18.5,6.5,17.25,64.92,61.83,53.75,1.92,28.92,9.75
