ppt_id,start_date,tv_count,Day-01,Day-02,Day-03,Day-04,Day-05,Day-06,Day-07,Day-08,Day-09,Day-10
1024,2023-07-04,1,96.58,103.92,81.33,10.83,0.25,2.58,0.0,0.0,18.42,39.75
1036,2023-07-18,1,0.0,0.0,0.0,0.0,0.0,0.0,190.67,130.83,93.67,73.83
1078,2023-10-26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,2024-02-22,1,50.5,1.75,39.75,12.08,18.75,39.92,73.67,26.83,79.08,58.17
1098,2024-01-12,3,59.08,110.67,200.16000000000003,11.92,57.83,65.67,73.33,164.84,193.67,69.25
1099,2023-11-29,1,23.92,43.67,20.92,103.42,10.67,50.67,45.92,43.5,0.17,68.75
1100,2023-11-15,2,12.0,12.67,8.75,37.0,92.92,69.08,78.33,36.08,9.83,2.42
1138,2023-12-01,1,59.33,3.33,45.83,3.0,117.25,5.42,16.58,34.33,27.17,51.25
1141,2023-11-30,1,0.0,0.0,109.33,0.0,0.0,0.0,0.0,22.83,57.92,34.67
1147,2023-11-10,2,62.66,43.08,29.58,15.92,33.34,15.08,25.42,28.58,37.83,46.83
1149,2023-11-04,1,137.83,3.58,4.0,26.83,48.58,120.08,147.58,192.92,273.58,41.25
1165,2024-01-06,1,167.83,190.33,81.58,46.92,63.33,57.75,0.0,0.0,0.0,0.0
1185,2024-02-01,2,54.92,60.91,161.25,175.16,106.25,25.42,62.42,30.59,60.75,162.66000000000003
1206,2024-04-06,1,24.0,0.08,13.08,0.0,0.67,0.0,7.5,20.92,0.08,1.58
1211,2024-01-19,1,48.33,57.17,0.0,0.0,0.0,0.0,0.0,8.92,136.83,93.67
1217,2024-01-09,2,62.0,45.5,46.91,58.17,290.25,137.75,96.17,85.42,6.42,32.92
1311,2024-01-31,2,3.5,5.92,43.25,1.42,0.0,0.08,0.0,0.0,0.0,7.42
1322,2024-02-28,1,0.0,95.0,0.0,5.75,0.0,14.83,81.25,2.5,29.58,66.08
1325,2024-02-27,1,28.17,44.25,47.17,0.0,145.58,124.0,79.17,44.08,0.0,29.0
1330,2024-03-19,2,1.0,3.58,31.340000000000003,87.33,68.59,7.67,45.41,24.590000000000003,7.33,6.17
1331,2024-02-24,2,122.92,49.92,69.17,96.5,71.58,99.25,11.5,0.0,0.42,121.17
1335,2024-04-03,1,61.92,49.25,29.08,99.67,124.5,110.83,68.58,98.0,35.75,47.25
1347,2024-03-20,2,23.5,13.75,11.92,34.75,38.09,42.67,64.75,0.17,31.92,14.08
