ppt_id,start_date,tv_count,Day-01,Day-02,Day-03,Day-04,Day-05,Day-06,Day-07,Day-08,Day-09,Day-10
1024,2023-07-04,1,22.0,22.25,198.83,182.83,55.0,53.75,54.5,41.75,41.83,126.83
1036,2023-07-18,1,1416.58,1227.33,1303.67,1440.0,429.58,0.33,6.33,5.92,3.92,380.67
1078,2023-10-26,1,2.0,1.83,2.0,2.0,1.92,1.92,2.0,2.0,2.08,1.92
1093,2024-02-22,1,1.92,2.0,5.83,4.08,4.25,2.08,4.33,6.58,4.17,2.0
1098,2024-01-12,3,18.42,18.5,15.42,19.08,12.33,21.17,16.16,17.42,22.08,26.090000000000003
1099,2023-11-29,1,2.0,6.5,6.08,12.67,4.0,6.25,6.33,1.92,4.17,4.33
1100,2023-11-15,2,12.55,14.5,16.93,12.23,14.73,20.55,12.35,23.25,18.53,371.10999999999996
1138,2023-12-01,1,6.83,4.25,6.33,1.92,8.17,4.0,4.08,4.0,2.25,4.08
1141,2023-11-30,1,2.08,2.0,1.92,1.92,2.08,2.0,2.17,2.08,2.08,1.92
1147,2023-11-10,2,12.0,8.41,8.0,5.92,10.0,6.0,3.75,11.92,10.17,10.17
1149,2023-11-04,1,4.0,6.08,2.0,6.33,6.0,8.33,4.0,9.5,7.42,10.92
1165,2024-01-06,1,10.75,10.25,10.25,10.42,8.17,4.33,1.92,2.0,2.0,1.92
1185,2024-02-01,2,6.42,8.42,9.92,9.0,6.75,8.08,9.91,11.92,7.92,10.17
1206,2024-04-06,1,2.0,1.92,2.0,2.0,2.0,4.5,4.0,4.25,6.42,1.92
1211,2024-01-19,1,4.17,1.92,2.08,1.92,2.0,2.0,2.17,4.17,6.67,1.92
1217,2024-01-09,2,4.0,6.58,4.25,4.0,53.42,22.75,17.66,9.84,18.17,4.08
1311,2024-01-31,2,6.0,6.0,6.0,3.84,4.0,7.67,4.0,4.25,4.0,3.92
1322,2024-02-28,1,1.92,6.58,1.92,2.08,2.08,2.08,2.0,1.33,3.25,1.92
1325,2024-02-27,1,2.0,2.0,4.17,2.0,4.08,3.92,4.08,6.83,1.92,4.33
1330,2024-03-19,2,12.08,4.0,6.33,7.84,12.0,6.09,8.08,6.17,10.58,4.25
1331,2024-02-24,2,8.67,6.0,8.33,4.16,8.58,6.25,7.83,4.25,6.08,11.17
1335,2024-04-03,1,3.92,2.92,1.92,2.08,10.92,3.83,1.83,4.25,2.0,4.17
1347,2024-03-20,2,6.25,6.41,7.08,6.08,6.0,8.42,7.92,6.33,3.92,8.58
